preprocess_variant,fold,method,config_name,target_pos_rate,max_synth,num_quantile_l1,num_wasserstein_norm,cat_tv_distance,cat_js_divergence,corr_mad,real_vs_synth_auc,rare_cat_coverage,schema_validity_rate,n_real,n_synth,forbidden_token_count
less_hashing,0,ctgan,ctgan_e7_p1_b512,0.05,5000,3193.3142073280565,13536988.7443947,0.06713338111969272,0.00667735423146035,0.2864208917198693,1.0,1.0,0.0,5835,4526,
less_hashing,0,ctgan,ctgan_e7_p1_b512,0.1,5000,2735.54476801284,14358868.001739698,0.06843235646958012,0.0068832346968029845,0.28658601094630315,1.0,1.0,0.0,5835,5000,
less_hashing,0,ctgan,ctgan_e15_p1_b512,0.05,5000,6605.5187353265865,6661480.516102969,0.0711593205552154,0.006191465397175358,0.2851412832833989,1.0,1.0,0.0,5835,4526,
less_hashing,0,ctgan,ctgan_e15_p1_b512,0.1,5000,1832.501619782425,12039007.233888315,0.06386624164524421,0.006088852355681134,0.2869975769288352,0.9999999999999999,1.0,0.0,5835,5000,
less_hashing,0,tabddpm,tabddpm_t75_e4_h768,0.05,5000,14700673.796101674,117306620498.46901,0.39783877821411545,0.12354507534563855,0.2835363024569389,1.0,1.0,0.0,5835,4526,0.0
less_hashing,0,tabddpm,tabddpm_t75_e4_h768,0.1,5000,14693509.166551923,116788841992.06998,0.39784108311910876,0.12348418418757269,0.28357639380634664,0.9999999999999999,1.0,0.0,5835,5000,0.0
less_hashing,0,tabddpm,tabddpm_t100_e8_h768,0.05,5000,16674119.202463532,128732248595.57462,0.398606545216612,0.12485483498077685,0.2841479847837429,1.0,1.0,0.0,5835,4526,0.0
less_hashing,0,tabddpm,tabddpm_t100_e8_h768,0.1,5000,16654600.163036076,129418307220.14497,0.39944197429305917,0.12536973628800133,0.2841609180903729,1.0,1.0,0.0,5835,5000,0.0
less_hashing,1,ctgan,ctgan_e7_p1_b512,0.05,5000,3709.5329382599393,6392780.558327852,0.07353675405007364,0.00808125674428539,0.29537310796087196,1.0,1.0,0.0,13580,5000,
less_hashing,1,ctgan,ctgan_e7_p1_b512,0.1,5000,2154.1834481897677,16221434.272740092,0.09343162297496317,0.011123452260932698,0.29618873325598605,1.0,1.0,0.0,13580,5000,
less_hashing,1,ctgan,ctgan_e15_p1_b512,0.05,5000,10421.636958639867,6839131.582477383,0.0535939675994109,0.00461888906463318,0.26765589989543953,1.0,1.0,0.0,13580,5000,
less_hashing,1,ctgan,ctgan_e15_p1_b512,0.1,5000,4297.682841654013,5516041.8579484215,0.0644579086892489,0.005679807784712768,0.2587490470088693,1.0,1.0,0.0,13580,5000,
less_hashing,1,tabddpm,tabddpm_t75_e4_h768,0.05,5000,26351160.828817382,73321683735.33028,0.3369311811487482,0.09928190790100548,0.29402974363120304,1.0,1.0,0.0,13580,5000,0.0
less_hashing,1,tabddpm,tabddpm_t75_e4_h768,0.1,5000,26351160.828817382,73321683735.33028,0.3369311811487482,0.09928190790100548,0.29402974363120304,1.0,1.0,0.0,13580,5000,0.0
less_hashing,1,tabddpm,tabddpm_t100_e8_h768,0.05,5000,13508703.230808107,44436585634.1592,0.3248396583210604,0.090804131001789,0.2877791824891025,1.0,1.0,0.0,13580,5000,0.0
less_hashing,1,tabddpm,tabddpm_t100_e8_h768,0.1,5000,13508703.230808107,44436585634.1592,0.3248396583210604,0.090804131001789,0.2877791824891025,1.0,1.0,0.0,13580,5000,0.0
